iter	MAE	RMSE
0	0.07857836543	0.1010940021
1	0.07801440338	0.1005947035
2	0.07747885875	0.1001479904
3	0.07696238457	0.09968611034
4	0.07645295831	0.09922326306
5	0.07597764872	0.09880008389
6	0.07555673101	0.09839752738
7	0.07507758718	0.09798075442
8	0.07461960987	0.09757079935
9	0.07419566587	0.09720719309
10	0.07379814239	0.09686839955
11	0.07337220728	0.09651580727
12	0.07293883065	0.09615377668
13	0.07252817833	0.09578720891
14	0.07211948824	0.09544800976
15	0.0717221869	0.09510315244
16	0.071342211	0.09478364424
17	0.07096141307	0.09447673237
18	0.0705947866	0.09419283541
19	0.0702433193	0.09390653259
20	0.06992311091	0.09362358347
21	0.06958965666	0.09336321336
22	0.06922407125	0.09307271983
23	0.0689060438	0.09283755745
24	0.06861499727	0.09259976722
25	0.06831679207	0.09237412938
26	0.06805330389	0.09215045848
27	0.06775672676	0.09191887596
28	0.06744794045	0.09167527827
29	0.06721069374	0.09147467299
30	0.0669563236	0.09126642785
31	0.06674061981	0.09108827506
32	0.06648747894	0.09089102179
33	0.06621663735	0.0906771539
34	0.06593513632	0.09047387802
35	0.0656790226	0.09028432099
36	0.06542550209	0.09009694718
37	0.06518210715	0.08991425137
38	0.06497965826	0.0897565505
39	0.06475486534	0.08958786142
40	0.06452624903	0.08943479126
41	0.06433158601	0.08930177141
42	0.06412212818	0.08914462088
43	0.06391072982	0.08899720912
44	0.06368429308	0.08884289046
45	0.06351579633	0.08871078704
46	0.06331083138	0.08858701668
47	0.06314028427	0.08846136712
48	0.06296888426	0.08834310567
49	0.06278624795	0.08821125799
50	0.06258835161	0.08808045352
51	0.06243406359	0.08795749136
52	0.06221993306	0.0878318817
53	0.06205092224	0.08771628864
54	0.06186439351	0.08759604486
55	0.06171943138	0.08749233026
56	0.06155674745	0.08738393026
57	0.06141202043	0.08728643212
58	0.06124399919	0.08718989307
59	0.06110633125	0.08707979613
60	0.06095770308	0.08697064006
61	0.06081780129	0.08684939194
62	0.06071430234	0.08675986878
63	0.06056270015	0.08665715391
64	0.06042323306	0.08657001166
65	0.06027248688	0.08647612847
66	0.06015742126	0.08638293516
67	0.06002290989	0.08629143062
68	0.05989219902	0.08619475682
69	0.05979452063	0.08612450439
70	0.0596785096	0.08604985013
71	0.0595684327	0.08595708627
72	0.05945223047	0.08587578507
73	0.05932846381	0.08580044596
74	0.05924449808	0.08573160434
75	0.05914622232	0.08565801478
76	0.05904172854	0.0855819652
77	0.05898396291	0.08553132991
78	0.05891048075	0.08546764501
79	0.05885222367	0.08540385069
80	0.05875525342	0.08533988734
81	0.058688996	0.08528961985
82	0.05861399237	0.08523806899
83	0.05851582441	0.08518235875
84	0.05841878624	0.08510206182
85	0.05831258882	0.08503219261
86	0.05826365397	0.08497885379
87	0.05815875062	0.08492026335
88	0.05805002285	0.08483266701
89	0.05798524845	0.08478866529
90	0.05789675499	0.08473640717
91	0.05780869717	0.08467327251
92	0.05773010169	0.08462948618
93	0.05768811803	0.08459137133
94	0.05760691178	0.08453178492
95	0.057552974	0.08446463751
96	0.05749052613	0.08441600061
97	0.0574179074	0.08437485596
98	0.05734154974	0.08432956895
99	0.05728568063	0.08427810583
100	0.05724594476	0.08424365022
101	0.05716960603	0.08420025106
102	0.05710125123	0.08414292609
103	0.0570078432	0.08409174255
104	0.05695190629	0.08405370895
105	0.05692719349	0.08403003027
106	0.05685449783	0.08398282323
107	0.05678784271	0.08394777002
108	0.05671963169	0.08390609224
109	0.05660366616	0.08383674792
110	0.05652445632	0.0837857682
111	0.0564877891	0.08374897114
112	0.05645338001	0.08371262737
113	0.05637141697	0.0836726325
114	0.05632149228	0.08363674136
115	0.05625048814	0.08358999483
116	0.05618002948	0.08353877304
117	0.05614582898	0.08349500266
118	0.05610480361	0.08346736552
119	0.05606094847	0.08343180345
120	0.05602779177	0.08340304809
121	0.05595551785	0.08336638258
122	0.05590323917	0.08333436186
123	0.05584141904	0.08328104249
124	0.05581128346	0.08324690182
125	0.05577754753	0.08322189966
126	0.05576798556	0.08320187908
127	0.05572981413	0.08317695251
128	0.05571454675	0.08315649254
129	0.05569549403	0.08313301865
130	0.05566743404	0.08310984554
131	0.05563198931	0.0830853199
132	0.05562035104	0.08306953234
133	0.05559641458	0.08304982742
134	0.05554266191	0.08299335777
135	0.05548652648	0.08295191942
136	0.05544597741	0.08291249914
137	0.05541182109	0.08286879806
138	0.05535840034	0.08282505313
139	0.05533996254	0.08280572478
140	0.05530467423	0.08278608745
141	0.05529356442	0.08276760226
142	0.0552833864	0.08275489276
143	0.05525473209	0.0827342931
144	0.05524130708	0.08271780736
145	0.05522445807	0.08269960595
146	0.05520694899	0.08268001472
147	0.0551721426	0.08265019348
148	0.05515244278	0.08262127111
149	0.05510105802	0.08257681622
150	0.05508461514	0.08255518033
151	0.05503434112	0.08252849539
152	0.05500497605	0.08251047389
153	0.05496805953	0.08248164335
154	0.05494054406	0.08245687971
155	0.05493045787	0.08244564296
156	0.05488502533	0.08241984396
157	0.05484591083	0.08239789299
158	0.05479543005	0.08236655843
159	0.05477975995	0.08234947517
160	0.05476042557	0.0823391234
161	0.054721242	0.0823098825
162	0.05468102547	0.0822792466
163	0.0546600213	0.08226001789
164	0.05463263666	0.0822370134
165	0.05461241711	0.08221398847
166	0.0545909031	0.08218810761
167	0.05455166785	0.0821465419
168	0.054513939	0.0821198909
169	0.05446635062	0.08209572186
170	0.05439976203	0.08206672395
171	0.05437082158	0.08203655527
172	0.05436753795	0.0820277412
173	0.05433377397	0.08199654862
174	0.05428884762	0.08194799692
175	0.05423489871	0.08190522937
176	0.05420823877	0.08187610846
177	0.05419223301	0.0818613733
178	0.05415720104	0.08183399924
179	0.05409300628	0.08178406058
180	0.05406346528	0.08176820694
181	0.05402210913	0.08174847594
182	0.05399727821	0.08172677644
183	0.05397358163	0.08171246169
184	0.05396869763	0.08170018101
185	0.05391820181	0.08168324116
186	0.05387298325	0.08166172538
187	0.05386104075	0.08164789168
188	0.05382819995	0.08162042945
189	0.05381192903	0.08160162186
190	0.0537475394	0.08157596911
191	0.05372728201	0.08155754907
192	0.05366502529	0.08152989945
193	0.0536540766	0.08151923969
194	0.05364910534	0.0815088978
195	0.0536139477	0.08149413791
196	0.05359301791	0.08146112093
197	0.0535235995	0.08141218291
198	0.0535129214	0.0813985179
199	0.05348744277	0.08136430916
200	0.05345961011	0.08134607007
201	0.0534416045	0.08132837047
202	0.05341967255	0.08131226909
203	0.0533854237	0.08127044788
204	0.05336531451	0.08126075555
205	0.05335792532	0.0812491781
206	0.05331340324	0.0812109383
207	0.05330540765	0.08120239521
208	0.05328016162	0.08117844177
209	0.05327023938	0.08116634467
210	0.0532597224	0.08115649597
211	0.05320410381	0.0811185666
212	0.05316807278	0.08109578132
213	0.05312743591	0.08107406802
214	0.05312111094	0.08105906852
215	0.05310898361	0.08104977942
216	0.0530794691	0.08100812117
217	0.05307735022	0.08100157825
218	0.05306654603	0.08099383359
219	0.05301712361	0.08094933025
220	0.05300284288	0.08093675401
221	0.05296774109	0.08091520938
222	0.05296393188	0.08090886984
223	0.05294174092	0.08089317105
224	0.05293994599	0.08088710946
225	0.05293290875	0.08087594939
226	0.05292609719	0.08086467548
227	0.05291325197	0.08085270038
228	0.05290496988	0.08084234051
229	0.05287547387	0.08082801311
230	0.05285439966	0.08081318469
231	0.05284936294	0.08080544013
